IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
002206-05012019,05-Jan-19,2019,20:29:11,20,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,N9 0QE,N9,207030429,20704226,E09000010,ENFIELD,Enfield,E05000197,EDMONTON GREEN,EDMONTON GREEN,534302,193136,534350,193150,51.62103248,-0.061363472,London,Edmonton,190,Edmonton,,,1,1,1,1,333,1,05-01-2019 20:29
002219-05012019,05-Jan-19,2019,20:52:19,20,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,EN2,0,20702814,E09000010,ENFIELD,Enfield,E05000202,HIGHLANDS,HIGHLANDS,,,530350,195950,,,London,Southgate,385,Southgate,515,Barnet,2,2,2,1,333,2,05-01-2019 20:52
002232-05012019,05-Jan-19,2019,21:30:56,21,Fire,Primary Fire,,Road Vehicle,Car ,Open land/water - nearest gazetteer location,RM3 8XS,RM3,1.00021E+11,21301444,E09000016,HAVERING,Havering,E05000314,HEATON,HEATON,553431,191743,553450,191750,51.60363524,0.214139497,London,Harold Hill,465,Hornchurch,,,1,1,1,1,333,13,05-01-2019 21:30
002251-05012019,05-Jan-19,2019,22:04:41,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N18,0,20704549,E09000010,ENFIELD,Enfield,E05000212,UPPER EDMONTON,UPPER EDMONTON,,,534050,191850,,,London,Edmonton,300,Tottenham,,,1,2,2,2,666,3,05-01-2019 22:04
002265-05012019,05-Jan-19,2019,23:12:56,23,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR7 6JZ,BR7,1.0002E+11,20302228,E09000006,BROMLEY,Bromley,E05000111,CHISLEHURST,CHISLEHURST,544276,171852,544250,171850,51.4273224,0.073912892,London,Eltham,486,Eltham,,,1,1,1,1,333,1,05-01-2019 23:12
002279-06012019,06-Jan-19,2019,00:28:25,0,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,HA9 8JU,HA9,202126631,20203129,E09000005,BRENT,Brent,E05000097,PRESTON,PRESTON,518448,186178,518450,186150,51.56206049,-0.292600973,London,Wembley,321,Wembley,,,1,1,1,1,333,7,06-01-2019 00:28
002282-06012019,06-Jan-19,2019,00:33:14,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E2,0,22702188,E09000030,TOWER HAMLETS,Tower Hamlets,E05009335,WEAVERS,WEAVERS,,,533950,182550,,,London,Bethnal Green,293,Shoreditch,307,Bethnal Green,5,5,5,2,666,1,06-01-2019 00:33
002289-06012019,06-Jan-19,2019,00:57:53,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE18,0,20801187,E09000011,GREENWICH,Greenwich,E05000226,PLUMSTEAD,PLUMSTEAD,,,546250,178350,,,London,Plumstead,168,Plumstead,204,Plumstead,1,2,2,1,333,1,06-01-2019 00:57
002293-06012019,06-Jan-19,2019,01:47:59,1,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,E2 9BN,E2,6130825,22701190,E09000030,TOWER HAMLETS,Tower Hamlets,E05009331,ST. PETER'S,ST. PETER'S,534452,183269,534450,183250,51.53233151,-0.062964319,London,Bethnal Green,379,Bethnal Green,473,Shoreditch,2,2,2,1,333,1,06-01-2019 01:47
002297-06012019,06-Jan-19,2019,01:59:24,1,Fire,Primary Fire,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,TW13 4AQ,TW13,1.00022E+11,21501253,E09000018,HOUNSLOW,Hounslow,E05000354,HANWORTH PARK,HANWORTH PARK,510730,172993,510750,172950,51.44511509,-0.408035351,London,Feltham,386,Feltham,410,Feltham,1,2,2,3,999,2,06-01-2019 01:59
