IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
002545-06012019,06-Jan-19,2019,16:43:15,16,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,KT9 1DP,KT9,10025294347,21800539,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000404,CHESSINGTON NORTH AND HOOK,CHESSINGTON NORTH AND HOOK,517982,165223,517950,165250,51.37382244,-0.306314479,London,Surbiton,284,Surbiton,,,1,1,1,1,333,2,06-01-2019 16:43
002558-06012019,06-Jan-19,2019,17:05:26,17,Fire,Primary Fire,,Road Vehicle,Other road vehicle,Open land/water - nearest gazetteer location,DA14 5HA,DA14,1.0002E+11,20100689,E09000004,BEXLEY,Bexley,E05011230,SIDCUP,SIDCUP,546821,170641,546850,170650,51.41578209,0.109980983,London,Sidcup,198,Sidcup,,,1,2,2,2,666,1,06-01-2019 17:05
002565-06012019,06-Jan-19,2019,17:30:17,17,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,DA15 9PS,DA15,1.00023E+11,20101848,E09000004,BEXLEY,Bexley,E05011220,BLACKFEN & LAMORBEY,BLACKFEN & LAMORBEY,546288,174529,546250,174550,51.45085745,0.10392767,London,Eltham,360,Eltham,,,1,1,1,1,333,2,06-01-2019 17:30
002570-06012019,06-Jan-19,2019,17:43:43,17,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E17,0,22848900,E09000031,WALTHAM FOREST,Waltham Forest,E05000606,MARKHOUSE,MARKHOUSE,,,537050,188350,,,London,Walthamstow,278,Walthamstow,300,Walthamstow,1,2,2,6,1998,4,06-01-2019 17:43
002580-06012019,06-Jan-19,2019,18:03:16,18,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,SM5 1HX,SM5,5870070137,22600781,E09000029,SUTTON,Sutton,E05000571,WANDLE VALLEY,WANDLE VALLEY,527789,166919,527750,166950,51.38693603,-0.164875852,London,Mitcham,305,Mitcham,445,Wallington,2,2,2,1,333,1,06-01-2019 18:03
002600-06012019,06-Jan-19,2019,18:55:26,18,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,UB5 4HF,UB5,12048360,20600966,E09000009,EALING,Ealing,E05000184,NORTHOLT MANDEVILLE,NORTHOLT MANDEVILLE,513388,185014,513350,185050,51.55263473,-0.365940898,London,Northolt,238,Northolt,,,1,1,1,1,333,3,06-01-2019 18:55
002604-06012019,06-Jan-19,2019,18:58:25,18,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,N14 6HX,N14,207119061,20701406,E09000010,ENFIELD,Enfield,E05000208,SOUTHGATE,SOUTHGATE,529659,194530,529650,194550,51.63465384,-0.127869396,London,Southgate,206,Southgate,,,1,1,1,1,333,1,06-01-2019 18:58
002607-06012019,06-Jan-19,2019,19:16:05,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW13,0,21501173,E09000018,HOUNSLOW,Hounslow,E05000353,HANWORTH,HANWORTH,,,512950,172650,,,London,Feltham,351,Twickenham,,,1,2,8,19,6327,10,06-01-2019 19:16
002618-06012019,06-Jan-19,2019,19:28:44,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,IG8 0TL,IG8,1.00022E+11,22305200,E09000026,REDBRIDGE,Redbridge,E05011249,MONKHAMS,MONKHAMS,539691,192962,539650,192950,51.61816342,0.016366015,London,Woodford,167,Woodford,,,1,1,1,1,333,1,06-01-2019 19:28
002621-06012019,06-Jan-19,2019,19:37:36,19,Fire,Primary Fire,,Dwelling,Bungalow - single occupancy ,Correct incident location,,HA3,0,21201438,E09000015,HARROW,Harrow,E05000290,HARROW WEALD,HARROW WEALD,,,514650,191550,,,London,Harrow,305,Harrow,,,2,2,3,6,1998,3,06-01-2019 19:37
002624-06012019,06-Jan-19,2019,19:41:29,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,N4,0,21604047,E09000019,ISLINGTON,Islington,E05000381,TOLLINGTON,TOLLINGTON,,,530550,186850,,,London,Holloway,157,Holloway,375,Kentish Town,2,2,2,1,333,1,06-01-2019 19:41
002627-06012019,06-Jan-19,2019,19:46:06,19,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,UB3 3EX,UB3,10022803066,21400437,E09000017,HILLINGDON,Hillingdon,E05000339,TOWNFIELD,TOWNFIELD,510737,180923,510750,180950,51.51638814,-0.405449061,London,Hayes,272,Southall,,,1,1,1,1,333,1,06-01-2019 19:46
002630-06012019,06-Jan-19,2019,19:51:16,19,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),On land associated with building,N14 4LN,N14,207119119,20701407,E09000010,ENFIELD,Enfield,E05000208,SOUTHGATE,SOUTHGATE,529621,194605,529650,194650,51.63533703,-0.128399328,London,Southgate,214,Southgate,,,1,1,1,1,333,1,06-01-2019 19:51
002633-06012019,06-Jan-19,2019,19:59:27,19,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,SM1 4AU,SM1,5870114737,22602438,E09000029,SUTTON,Sutton,E05000564,SUTTON CENTRAL,SUTTON CENTRAL,525869,164405,525850,164450,51.36477286,-0.193343888,London,Sutton,303,Sutton,,,1,1,1,1,333,1,06-01-2019 19:59
002641-06012019,06-Jan-19,2019,20:14:30,20,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,RM1,0,21301141,E09000016,HAVERING,Havering,E05000319,ROMFORD TOWN,ROMFORD TOWN,,,551650,189150,,,London,Romford,206,Romford,334,Harold Hill,2,2,2,2,666,1,06-01-2019 20:14
002649-06012019,06-Jan-19,2019,20:24:42,20,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW6,0,21000856,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000260,PARSONS GREEN AND WALHAM,PARSONS GREEN AND WALHAM,,,525650,176350,,,London,Fulham,255,Wandsworth,256,Battersea,4,4,4,2,666,2,06-01-2019 20:24
002653-06012019,06-Jan-19,2019,20:30:47,20,Fire,Primary Fire,,Road Vehicle,Bicycle,Nearby address - no building in street,W4 5UW,W4,2.00004E+11,21590005,E09000018,HOUNSLOW,Hounslow,E05000365,TURNHAM GREEN,TURNHAM GREEN,520676,178649,520650,178650,51.49392162,-0.263050629,London,Chiswick,193,Chiswick,,,1,1,1,1,333,1,06-01-2019 20:30
002668-06012019,06-Jan-19,2019,21:27:34,21,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SE18,0,20801346,E09000011,GREENWICH,Greenwich,E05000227,SHOOTERS HILL,SHOOTERS HILL,,,543750,176450,,,London,Eltham,421,Plumstead,466,Plumstead,1,2,2,3,999,1,06-01-2019 21:27
002676-06012019,06-Jan-19,2019,22:11:18,22,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,In street close to gazetteer location,SE16 3NY,SE16,2.00003E+11,22500076,E09000028,SOUTHWARK,Southwark,E05011116,SOUTH BERMONDSEY,SOUTH BERMONDSEY,534610,178804,534650,178850,51.49216997,-0.062402165,London,Old Kent Road,342,Dockhead,,,1,1,1,1,333,2,06-01-2019 22:11
002695-07012019,07-Jan-19,2019,00:03:00,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E1W,0,22700203,E09000030,TOWER HAMLETS,Tower Hamlets,E05009332,SHADWELL,SHADWELL,,,535550,180950,,,London,Shadwell,221,Shadwell,311,Whitechapel,2,2,2,3,999,2,07-01-2019 00:03
002700-07012019,07-Jan-19,2019,00:35:49,0,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,SE26 6TU,SE26,1.00024E+11,22005552,E09000023,LEWISHAM,Lewisham,E05000444,FOREST HILL,FOREST HILL,534466,172197,534450,172150,51.43283237,-0.06697351,London,Forest Hill,365,Forest Hill,,,1,1,5,5,1665,17,07-01-2019 00:35
002718-07012019,07-Jan-19,2019,00:47:17,0,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,HA5,0,21201307,E09000015,HARROW,Harrow,E05000292,HEADSTONE NORTH,HEADSTONE NORTH,,,513150,189150,,,London,Harrow,118,Harrow,,,1,1,1,1,333,1,07-01-2019 00:47
002722-07012019,07-Jan-19,2019,01:17:22,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W3,0,20601220,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000251,ASKEW,ASKEW,,,521250,179850,,,London,Acton,386,Acton,404,Hammersmith,2,2,2,1,333,1,07-01-2019 01:17
002723-07012019,07-Jan-19,2019,01:17:41,1,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,TW8 0DW,TW8,1.00022E+11,21500506,E09000018,HOUNSLOW,Hounslow,E05000347,BRENTFORD,BRENTFORD,518692,178108,518650,178150,51.48947546,-0.291801074,London,Chiswick,321,Richmond,,,1,1,1,2,666,10,07-01-2019 01:17
002739-07012019,07-Jan-19,2019,03:28:48,3,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE2,0,20800696,E09000011,GREENWICH,Greenwich,E05000214,ABBEY WOOD,ABBEY WOOD,,,546950,179750,,,London,Plumstead,339,Plumstead,358,Plumstead,1,2,2,2,666,2,07-01-2019 03:28
002759-07012019,07-Jan-19,2019,06:52:37,6,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Correct incident location,SW11 2EN,SW11,121012205,22906291,E09000032,WANDSWORTH,Wandsworth,E05000617,LATCHMERE,LATCHMERE,526879,175742,526850,175750,51.4664339,-0.1748003,London,Battersea,368,Battersea,448,Chelsea,3,3,3,1,333,2,07-01-2019 06:52
002802-07012019,07-Jan-19,2019,10:10:55,10,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,SE5 9HR,SE5,1.00024E+11,21900873,E09000022,LAMBETH,Lambeth,E05000423,HERNE HILL,HERNE HILL,531960,176346,531950,176350,51.4707043,-0.101466492,London,Brixton,195,Brixton,222,Brixton,1,2,2,1,333,1,07-01-2019 10:10
002806-07012019,07-Jan-19,2019,10:23:41,10,Fire,Secondary Fire,,Outdoor,Railway ,Railway land or rolling stock,HA8 0LA,HA8,200223131,20044805,E09000003,BARNET,Barnet,E05000044,BURNT OAK,BURNT OAK,520310,190741,520350,190750,51.60267212,-0.26419664,London,Mill Hill,459,Hendon,,,1,1,1,1,333,1,07-01-2019 10:23
002814-07012019,07-Jan-19,2019,11:02:12,11,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW18,0,22905902,E09000032,WANDSWORTH,Wandsworth,E05000614,FAIRFIELD,FAIRFIELD,,,525450,174750,,,London,Wandsworth,311,Battersea,420,Wandsworth,5,5,5,2,666,1,07-01-2019 11:02
002828-07012019,07-Jan-19,2019,12:05:38,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW12,0,22401395,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000521,HAMPTON NORTH,HAMPTON NORTH,,,512550,170450,,,London,Twickenham,395,Twickenham,586,Twickenham,1,2,2,5,1665,1,07-01-2019 12:05
002830-07012019,07-Jan-19,2019,12:16:43,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW16,0,22900054,E09000032,WANDSWORTH,Wandsworth,E05000615,FURZEDOWN,FURZEDOWN,,,529350,171550,,,London,Tooting,342,Tooting,449,Norbury,2,3,3,2,666,2,07-01-2019 12:16
002833-07012019,07-Jan-19,2019,12:32:14,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW19,0,22905765,E09000032,WANDSWORTH,Wandsworth,E05000628,WEST HILL,WEST HILL,,,524250,173250,,,London,Wandsworth,319,Wandsworth,,,1,1,1,1,333,2,07-01-2019 12:32
002843-07012019,07-Jan-19,2019,12:57:45,12,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000085,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000260,PARSONS GREEN AND WALHAM,PARSONS GREEN AND WALHAM,,,525950,176650,,,London,Fulham,251,Fulham,276,Chelsea,2,2,2,2,666,2,07-01-2019 12:57
002846-07012019,07-Jan-19,2019,13:09:55,13,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,HA2,0,21202061,E09000015,HARROW,Harrow,E05000292,HEADSTONE NORTH,HEADSTONE NORTH,,,513350,188150,,,London,Harrow,196,Harrow,304,Northolt,2,2,2,1,333,1,07-01-2019 13:09
002871-07012019,07-Jan-19,2019,13:59:43,13,Fire,Secondary Fire,,Outdoor Structure,Roadside furniture (eg lamp posts/ road signs/ telegraph poles/ speed cameras),In street outside gazetteer location,N16 6QU,N16,1.00024E+11,20900965,E09000012,HACKNEY,Hackney,E05009383,SPRINGFIELD,SPRINGFIELD,533656,187514,533650,187550,51.57067266,-0.072828645,London,Stoke Newington,125,Stoke Newington,,,1,1,1,3,999,3,07-01-2019 13:59
002883-07012019,07-Jan-19,2019,14:33:36,14,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E1 3FR,E1,6184523,22701089,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,535871,181972,535850,181950,51.52033593,-0.043018057,London,Bethnal Green,248,Bethnal Green,,,1,1,1,1,333,7,07-01-2019 14:33
002896-07012019,07-Jan-19,2019,15:03:47,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SM5,0,22601164,E09000029,SUTTON,Sutton,E05000568,THE WRYTHE,THE WRYTHE,,,526950,165250,,,London,Wallington,402,Sutton,,,1,1,1,1,333,1,07-01-2019 15:03
002898-07012019,07-Jan-19,2019,15:06:02,15,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E12,0,22200242,E09000025,NEWHAM,Newham,E05000488,MANOR PARK,MANOR PARK,,,542450,185350,,,London,Stratford,326,Stratford,413,East Ham,2,2,2,1,333,1,07-01-2019 15:06
002903-07012019,07-Jan-19,2019,15:14:27,15,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W6,0,21000806,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000256,HAMMERSMITH BROADWAY,HAMMERSMITH BROADWAY,,,522950,179450,,,London,Hammersmith,247,Hammersmith,374,Chiswick,2,2,2,2,666,1,07-01-2019 15:14
002906-07012019,07-Jan-19,2019,15:28:32,15,Fire,Secondary Fire,,Outdoor,Grassland/ pasture/ grazing etc ,Open land/water - nearest gazetteer location,SW18 4XH,SW18,121054092,22900732,E09000032,WANDSWORTH,Wandsworth,E05000624,SOUTHFIELDS,SOUTHFIELDS,525526,173234,525550,173250,51.44420377,-0.195151225,London,Wandsworth,330,Wandsworth,,,1,1,1,1,333,1,07-01-2019 15:28
002921-07012019,07-Jan-19,2019,16:39:59,16,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,NW1,0,8400252,E09000033,WESTMINSTER,Westminster,E05000632,BRYANSTON AND DORSET SQUARE,BRYANSTON AND DORSET SQUARE,,,527550,182250,,,London,Paddington,419,Paddington,437,Paddington,1,2,2,2,666,1,07-01-2019 16:39
002932-07012019,07-Jan-19,2019,16:59:52,16,Fire,Primary Fire,,Non Residential,Restaurant/cafe,Within same building,SE1 7GQ,SE1,2E+11,21900170,E09000022,LAMBETH,Lambeth,E05000416,BISHOP'S,BISHOP'S,530741,179807,530750,179850,51.502087,-0.11773,London,Lambeth,209,Lambeth,212,Lambeth,2,3,3,1,333,1,07-01-2019 16:59
002935-07012019,07-Jan-19,2019,17:06:49,17,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW1,0,20400666,E09000007,CAMDEN,Camden,E05000131,CANTELOWES,CANTELOWES,,,530050,184350,,,London,Kentish Town,309,Kentish Town,403,Euston,2,2,2,2,666,1,07-01-2019 17:06
002940-07012019,07-Jan-19,2019,17:20:29,17,Fire,Primary Fire,,Road Vehicle,Van ,In street outside gazetteer location,CR2 8AR,CR2,1.00021E+11,20501845,E09000008,CROYDON,Croydon,E05011480,SELSDON & ADDINGTON VILLAGE,SELSDON & ADDINGTON VILLAGE,535510,163135,535550,163150,51.35114295,-0.055430328,London,Addington,392,Addington,,,1,1,1,1,333,2,07-01-2019 17:20
002949-07012019,07-Jan-19,2019,17:30:17,17,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,CR0 4XZ,CR0,10001001600,20500664,E09000029,SUTTON,Sutton,E05000555,BEDDINGTON NORTH,BEDDINGTON NORTH,530487,165925,530450,165950,51.37739874,-0.126491896,London,Croydon,338,Croydon,,,1,1,1,1,333,3,07-01-2019 17:30
002955-07012019,07-Jan-19,2019,17:39:46,17,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,BR3,0,20301795,E09000006,BROMLEY,Bromley,E05000113,COPERS COPE,COPERS COPE,,,537550,169850,,,London,Beckenham,221,Beckenham,530,Bromley,2,2,2,2,666,1,07-01-2019 17:39
002971-07012019,07-Jan-19,2019,18:03:50,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W2,0,8400045,E09000033,WESTMINSTER,Westminster,E05000636,HYDE PARK,HYDE PARK,,,527150,180850,,,London,Paddington,352,Kensington,426,North Kensington,4,5,5,3,999,1,07-01-2019 18:03
002985-07012019,07-Jan-19,2019,18:44:24,18,Fire,Primary Fire,,Road Vehicle,Car ,In street remote from gazetteer location,N11 3AE,N11,200008492,20002720,E09000003,BARNET,Barnet,E05000047,COPPETTS,COPPETTS,528189,192772,528150,192750,51.61918821,-0.149750925,London,Southgate,400,Southgate,,,1,1,1,1,333,9,07-01-2019 18:44
003002-07012019,07-Jan-19,2019,18:56:57,18,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,,N9,0,20704052,E09000010,ENFIELD,Enfield,E05000197,EDMONTON GREEN,EDMONTON GREEN,,,533950,193650,,,London,Edmonton,124,Edmonton,176,Edmonton,1,2,2,1,333,1,07-01-2019 18:56
003007-07012019,07-Jan-19,2019,19:05:50,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,BR4,0,20300754,E09000006,BROMLEY,Bromley,E05000119,HAYES AND CONEY HALL,HAYES AND CONEY HALL,,,540450,164850,,,London,Addington,427,Addington,447,Addington,1,2,2,2,666,1,07-01-2019 19:05
003012-07012019,07-Jan-19,2019,19:12:40,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,HA3 9BG,HA3,1.00021E+11,21201578,E09000015,HARROW,Harrow,E05000294,KENTON EAST,KENTON EAST,517268,189374,517250,189350,51.59102888,-0.30855658,London,Stanmore,266,Stanmore,,,1,1,1,1,333,1,07-01-2019 19:12
003021-07012019,07-Jan-19,2019,19:30:09,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE15,0,22500174,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,,,535050,176950,,,London,New Cross,259,Old Kent Road,281,Peckham,2,2,2,2,666,1,07-01-2019 19:30
003033-07012019,07-Jan-19,2019,20:06:50,20,Fire,Primary Fire,,Non Residential,Other industrial manufacturing facility,Within same building,EN3 7EP,EN3,207196491,20702131,E09000010,ENFIELD,Enfield,E05000198,ENFIELD HIGHWAY,ENFIELD HIGHWAY,536463,198192,536450,198150,51.66594872,-0.028194878,London,Enfield,433,Enfield,482,Enfield,1,2,2,2,666,1,07-01-2019 20:06
003041-07012019,07-Jan-19,2019,20:39:26,20,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,E8 2LU,E8,10008339038,20900937,E09000012,HACKNEY,Hackney,E05009371,DE BEAUVOIR,DE BEAUVOIR,532965,184848,532950,184850,51.54687792,-0.08379978,London,Islington,250,Islington,,,1,1,1,1,333,2,07-01-2019 20:39
003049-07012019,07-Jan-19,2019,21:23:07,21,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street outside gazetteer location,SE2 9BB,SE2,1.00021E+11,20800696,E09000011,GREENWICH,Greenwich,E05000214,ABBEY WOOD,ABBEY WOOD,546843,179839,546850,179850,51.49842671,0.114125289,London,Plumstead,354,Plumstead,,,1,1,1,1,333,1,07-01-2019 21:23
003050-07012019,07-Jan-19,2019,21:24:46,21,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,IG6 2NR,IG6,1.00022E+11,22305067,E09000026,REDBRIDGE,Redbridge,E05011242,FAIRLOP,FAIRLOP,544541,191278,544550,191250,51.60180171,0.085669258,London,Hainault,348,Hainault,,,1,1,1,1,333,1,07-01-2019 21:24
003057-07012019,07-Jan-19,2019,21:47:09,21,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street outside gazetteer location,WC1X 9HA,WC1X,5300026219,21604648,E09000019,ISLINGTON,Islington,E05000370,CLERKENWELL,CLERKENWELL,530988,182976,530950,182950,51.53051559,-0.112994353,London,Islington,269,Islington,,,1,1,1,1,333,1,07-01-2019 21:47
003065-07012019,07-Jan-19,2019,22:51:51,22,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,SW6 4LJ,SW6,34043897,21000358,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05000264,TOWN,TOWN,524558,176324,524550,176350,51.47218371,-0.207978698,London,Fulham,622,Fulham,,,1,1,1,1,333,5,07-01-2019 22:51
003075-07012019,07-Jan-19,2019,23:27:21,23,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street outside gazetteer location,N1 2PF,N1,5300094065,21607002,E09000019,ISLINGTON,Islington,E05000369,CANONBURY,CANONBURY,532421,184450,532450,184450,51.54342104,-0.091793639,London,Islington,240,Islington,,,1,1,1,1,333,1,07-01-2019 23:27
003078-07012019,07-Jan-19,2019,23:35:30,23,Fire,Primary Fire,,Road Vehicle,Lorry/HGV ,In street close to gazetteer location,SE1 6TU,SE1,2.00003E+11,22501783,E09000028,SOUTHWARK,Southwark,E05011107,NORTH WALWORTH,NORTH WALWORTH,532425,178946,532450,178950,51.49395956,-0.093801581,London,Old Kent Road,200,Old Kent Road,,,1,1,1,1,333,1,07-01-2019 23:35
003082-07012019,07-Jan-19,2019,23:54:28,23,Fire,Primary Fire,,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Correct incident location,,UB1,0,20601514,E09000009,EALING,Ealing,E05000189,SOUTHALL BROADWAY,SOUTHALL BROADWAY,,,512450,180750,,,London,Southall,350,Ealing,103,Southall,3,4,10,30,9990,5,07-01-2019 23:54
